alcohol_smiles,sulfonyl_fluoride_smiles,base_smiles,product_smiles,product_yield
c1ccccc1-c2ccc(CO)cc2,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,CC(C)(C)N=C(N(C)C)N(C)C,c1ccccc1-c2ccc(CF)cc2,83
c1ccccc1-c2ccc(CO)cc2,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,c1ccccc1-c2ccc(CF)cc2,99
c1ccccc1-c2ccc(CO)cc2,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,N\2=C1\N(CCCCC1)CCC/2,c1ccccc1-c2ccc(CF)cc2,21
c1ccccc1-c2ccc(CO)cc2,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,CN1CCCN2C1=NCCC2,c1ccccc1-c2ccc(CF)cc2,41
c1ccccc1-c2ccc(CO)cc2,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,CC(C)(C)N=C(N(C)C)N(C)C,c1ccccc1-c2ccc(CF)cc2,83
c1ccccc1-c2ccc(CO)cc2,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,c1ccccc1-c2ccc(CF)cc2,91
c1ccccc1-c2ccc(CO)cc2,C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,N\2=C1\N(CCCCC1)CCC/2,c1ccccc1-c2ccc(CF)cc2,23
c1ccccc1-c2ccc(CO)cc2,C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,CN1CCCN2C1=NCCC2,c1ccccc1-c2ccc(CF)cc2,37
c1ccccc1-c2ccc(CO)cc2,C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,CC(C)(C)N=C(N(C)C)N(C)C,c1ccccc1-c2ccc(CF)cc2,48
c1ccccc1-c2ccc(CO)cc2,C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,c1ccccc1-c2ccc(CF)cc2,68
